 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
Nam Ðịnh,157.5,943.8,509.4,153.0,60.4,923.9,75.7,69.4,525.5,,,,77.3,51.5,398.4,4.4,44.8,19.7,1.5,13.7,,,2016
Ninh Bình,85.3,491.7,515.9,78.7,59.5,468.1,41.6,66.2,275.2,,,,37.1,52.0,192.9,6.6,35.9,23.7,1.6,13.2,,,2016
Trung du và miền núi phía Bắc,1192.4,5345.2,445.3,682.6,49.9,3405.5,253.0,57.5,1454.3,,,,429.6,45.4,1951.2,509.5,38.1,1939.3,31.3,214.8,,,2016
Hà Giang,91.0,395.7,482.3,37.5,56.1,210.5,9.3,56.6,52.6,,,,28.2,56.0,157.9,53.5,34.6,185.2,1.9,9.1,5.0,39.8,2016
Cao Bằng,69.2,262.4,495.0,28.9,43.2,124.8,3.6,51.1,18.4,,,,25.3,42.1,106.4,40.1,34.3,137.5,1.4,7.8,3.5,51.9,2016
Bắc Kạn,40.7,184.6,578.7,24.3,48.6,118.1,9.3,55.1,51.2,,,,15.0,44.6,66.9,16.4,40.5,66.5,0.5,2.4,2.4,25.7,2016
Tuyên Quang,63.5,344.7,449.5,45.1,58.6,264.3,20.0,59.9,119.8,,,,25.1,57.6,144.5,18.4,43.7,80.4,3.2,19.5,4.4,57.6,2016
Lào Cai,69.2,296.9,433.9,31.6,50.1,158.3,10.1,57.4,58.0,,,,21.5,46.7,100.3,37.6,36.9,138.7,1.0,6.2,8.8,113.6,2016
Yên Bái,71.4,309.6,386.9,42.8,50.0,214.2,19.8,54.5,107.9,,,,23.0,46.2,106.3,28.6,33.4,95.4,3.1,16.9,14.8,288.8,2016
Thái Nguyên,92.1,470.9,378.6,72.0,53.4,384.7,30.7,55.0,168.7,,,,41.3,52.3,216.0,20.1,42.8,86.1,4.5,29.2,3.4,49.3,2016
Lạng Sơn,72.2,326.6,424.9,50.1,43.6,218.3,16.2,52.5,85.1,,,,33.9,39.3,133.2,22.2,48.7,108.2,2.1,12.8,3.9,39.1,2016
Bắc Giang,120.3,671.6,405.2,109.5,57.4,628.5,53.2,60.2,320.0,,,,56.3,54.8,308.5,10.7,40.2,43.0,5.6,61.0,4.3,63.2,2016
Phú Thọ,86.4,460.4,333.2,67.7,55.1,373.2,37.1,59.8,221.7,,,,30.6,49.5,151.5,18.7,46.6,87.1,2.1,13.9,8.3,115.0,2016
Ðiện Biên,80.1,253.9,455.5,50.1,35.0,175.4,9.0,58.2,52.4,,,,41.1,29.9,123.0,30.0,26.2,78.5,0.6,6.9,,,2016
Lai Châu,54.2,206.3,474.1,31.4,43.4,136.4,6.4,55.3,35.4,,,,25.0,40.4,101.0,22.8,30.7,69.9,0.3,1.6,4.4,36.9,2016
Sơn La,204.2,781.5,646.8,51.7,35.4,182.9,11.8,58.0,68.4,,,,39.9,28.7,114.5,152.4,39.3,598.6,0.2,1.6,32.8,386.5,2016
Hoà Bình,77.9,380.1,457.2,39.9,54.1,215.9,16.5,57.4,94.7,,,,23.4,51.8,121.2,38.0,43.2,164.2,4.8,25.9,11.2,144.6,2016
Bắc Trung Bộ và Duyên hải miền Trung,1423.0,7783.0,393.1,1215.3,56.3,6842.2,573.9,61.5,3530.6,337.9,55.0,1859.1,303.5,47.9,1452.5,207.6,45.3,940.2,32.3,216.7,,,2016
Thanh Hoá,306.9,1726.2,489.2,253.9,58.8,1493.1,123.4,64.4,795.3,,,,130.5,53.5,697.8,52.9,44.0,233.0,7.4,52.6,18.0,269.5,2016
Nghệ An,244.8,1257.6,405.0,186.0,54.2,1007.4,91.5,65.7,601.1,54.6,49.5,270.2,39.9,34.1,136.1,58.7,42.6,250.1,5.3,34.5,19.3,437.0,2016
Hà Tĩnh,113.0,565.9,446.8,103.4,51.3,530.4,58.2,56.5,328.7,44.0,45.4,199.9,1.2,15.0,1.8,9.6,37.0,35.5,4.7,30.6,3.1,42.9,2016
Quảng Bình,59.9,306.9,349.7,55.0,51.2,281.4,30.1,60.1,181.0,24.3,41.0,99.7,0.6,11.7,0.7,4.9,51.0,25.0,3.7,26.5,6.9,129.1,2016
Quảng Trị,53.8,275.9,442.5,49.8,52.8,263.1,25.7,56.9,146.3,22.2,51.8,114.9,1.9,10.0,1.9,4.1,31.5,12.9,2.4,18.1,13.0,218.4,2016
Thừa Thiên Huế,56.1,330.5,287.4,54.5,59.5,324.3,27.9,60.8,169.5,26.0,59.2,153.8,0.6,16.7,1.0,1.6,39.4,6.3,3.0,14.1,7.1,132.3,2016
Ðà Nẵng,5.9,34.8,33.3,5.4,59.6,32.2,2.9,59.3,17.2,..,..,..,2.5,60.0,15.0,0.5,52.0,2.6,0.3,2.1,,,2016
Quảng Nam,99.3,499.9,336.2,86.7,50.9,441.7,43.0,51.0,219.1,..,..,..,43.7,50.9,222.6,12.6,46.2,58.2,4.0,28.1,12.6,233.1,2016
Quảng Ngãi,86.1,475.1,378.8,75.8,54.9,416.3,39.1,53.6,209.4,34.3,58.3,200.0,2.4,28.8,6.9,10.4,56.5,58.8,0.3,2.2,19.6,370.5,2016
Bình Ðịnh,111.0,688.3,451.5,102.5,62.3,638.9,48.5,66.0,320.3,40.6,63.9,259.4,13.4,44.2,59.2,8.4,58.8,49.4,0.2,1.3,,323.7,2016
Phú Yên,63.3,398.7,443.3,57.5,65.4,376.2,26.9,67.7,182.1,24.8,70.4,174.5,5.8,33.8,19.6,5.8,38.8,22.5,0.2,1.0,25.2,527.9,2016
Khánh Hoà,46.4,241.8,199.2,39.9,56.9,227.1,19.5,62.1,121.0,13.6,58.8,79.9,6.8,38.5,26.2,6.4,23.0,14.7,0.2,1.0,5.4,89.8,2016
Ninh Thuận,53.1,257.4,428.0,41.4,51.2,211.8,14.8,65.2,96.5,12.4,60.9,75.5,14.2,28.0,39.8,11.7,38.9,45.5,0.1,1.5,,,2016
Bình Thuận,123.4,724.0,592.1,103.5,57.8,598.3,22.4,63.9,143.1,41.1,56.3,231.3,40.0,56.0,223.9,20.0,62.9,125.7,0.5,3.1,31.2,495.1,2016
Tây Nguyên,469.0,2436.1,427.8,233.3,50.3,1174.0,79.1,53.7,424.4,5.6,52.0,29.1,148.6,48.5,720.5,235.3,53.5,1260.0,16.7,196.0,,,2016
Kon Tum,30.9,113.1,222.7,24.2,36.0,87.1,7.4,41.6,30.8,,,,16.8,33.5,56.3,6.4,38.9,24.9,0.2,1.2,39.1,582.3,2016
Gia Lai,124.8,536.9,378.8,72.8,43.8,318.9,23.4,47.5,111.1,,,,49.4,42.1,207.8,52.0,41.9,217.9,1.9,16.0,64.8,1207.1,2016
Ðắk Lắk,206.3,1169.5,623.9,93.9,58.6,550.2,34.2,61.3,209.5,,,,59.7,57.1,340.7,112.4,55.1,619.2,4.8,56.1,,,2016
Ðắk Nông,64.2,401.3,659.5,12.4,58.4,72.4,4.4,58.9,25.9,,,,8.0,58.1,46.5,51.7,63.6,328.7,8.0,97.9,,,2016
Lâm Ðồng,42.8,215.3,167.4,30.0,48.5,145.4,9.7,48.6,47.1,5.6,52.0,29.1,14.7,47.1,69.2,12.8,54.1,69.3,1.8,24.8,,..,2016
Ðông Nam Bộ,345.9,1849.3,112.7,270.4,50.6,1367.4,74.9,56.4,422.8,87.9,50.0,439.8,107.6,46.9,504.8,75.7,63.6,481.4,1.5,10.2,,,2016
Bình Phước,16.8,56.9,59.5,12.2,32.3,39.4,3.1,29.7,9.2,,,,9.1,33.2,30.2,4.5,38.2,17.2,0.5,2.7,17.0,403.6,2016
Tây Ninh,148.9,784.6,701.3,144.6,52.6,760.0,43.2,58.0,250.6,49.5,51.4,254.5,51.9,49.1,254.9,4.4,55.7,24.5,0.0,0.0,61.6,2024.0,2016
Bình Dương,7.7,31.5,15.8,7.3,41.9,30.6,2.2,49.5,10.9,1.6,38.1,6.1,3.5,38.9,13.6,0.4,20.0,0.8,0.2,1.5,4.8,89.0,2016
Ðồng Nai,113.1,700.5,236.5,61.7,53.7,331.5,14.7,60.7,89.2,21.9,51.7,113.3,25.1,51.4,129.0,51.5,71.7,369.0,0.4,4.6,,399.7,2016
Bà Rịa - Vũng Tàu,39.4,188.8,173.2,25.1,48.1,120.7,6.5,57.5,37.4,8.4,45.0,37.8,10.2,44.6,45.5,14.4,47.3,68.1,0.3,1.0,8.7,215.0,2016
TP.Hồ Chí Minh,20.0,87.0,10.5,19.5,43.7,85.2,5.2,49.0,25.5,6.5,43.2,28.1,7.8,40.5,31.6,0.5,36.0,1.8,0.1,0.4,,,2016
Ðồng bằng sông Cửu Long,4276.0,24024.7,1360.0,4241.1,56.2,23831.0,1601.9,63.9,10231.3,2441.5,52.9,12904.1,197.7,35.2,695.6,34.8,55.6,193.4,19.8,454.9,,,2016
Long An,529.8,2813.9,1888.0,527.4,53.1,2802.2,232.5,60.5,1406.5,292.6,47.5,1390.2,2.3,23.9,5.5,2.4,48.8,11.7,0.2,0.9,1.2,20.4,2016
Tiền Giang,219.5,1283.1,737.4,215.5,58.8,1268.1,74.2,67.8,503.1,141.2,54.2,765.1,..,..,..,4.1,36.1,14.8,0.4,5.7,,,2016
Bến Tre,42.2,89.9,71.1,41.5,21.1,87.6,15.1,0.5,0.8,16.6,40.1,66.5,9.8,20.7,20.3,0.6,38.3,2.3,0.1,0.8,,..,2016
Trà Vinh,214.8,978.8,940.7,210.6,45.4,956.3,68.8,40.4,277.7,139.4,47.9,667.9,2.4,44.6,10.7,4.3,52.3,22.5,1.2,18.9,,,2016
Vĩnh Long,177.7,941.7,898.1,176.4,53.2,938.7,61.2,63.8,390.5,115.3,47.5,548.2,..,..,..,1.3,23.1,3.0,11.0,294.3,0.2,2.9,2016
Ðồng Tháp,556.1,3434.1,2035.3,551.4,61.6,3396.8,208.8,68.0,1420.3,342.6,57.7,1976.5,..,..,..,4.8,77.9,37.4,2.7,66.3,,,2016
An Giang,677.1,4035.7,1868.5,669.0,59.4,3974.7,239.3,71.9,1719.9,424.7,52.6,2234.6,5.0,40.2,20.1,8.1,75.2,60.9,0.2,4.8,1.3,26.3,2016
Kiên Giang,766.3,4162.9,2343.1,765.9,54.3,4161.6,301.0,61.5,1850.3,404.8,54.4,2203.7,60.1,17.9,107.5,0.2,60.0,1.2,1.5,33.8,0.7,20.5,2016
Cần Thơ,241.1,1403.6,1111.7,240.0,58.2,1397.8,86.7,71.0,615.8,153.3,51.0,782.0,..,..,..,1.1,52.7,5.8,0.0,0.2,,,2016
Hậu Giang,205.5,1246.0,1612.9,202.2,60.9,1231.0,79.4,70.0,556.1,122.8,55.0,675.0,..,..,..,3.2,46.6,14.9,0.1,2.3,,,2016
Sóc Trăng,360.6,2187.0,1666.3,356.6,60.9,2171.1,189.3,62.4,1181.8,153.3,56.4,864.5,14.1,88.5,124.8,4.0,39.8,15.9,1.7,23.0,,,2016
Bạc Liêu,172.5,993.9,1121.5,172.4,57.6,993.1,45.6,67.7,308.5,97.8,57.6,563.7,28.9,41.8,120.9,0.2,40.0,0.8,0.5,3.1,,,2016
Cà Mau,112.8,454.1,371.4,112.2,40.3,452.0,..,..,..,37.1,44.8,166.2,75.1,38.1,285.8,0.5,44.0,2.2,0.2,0.8,,,2016
