 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
CẢ NƯỚC,8890.6,48416.2,522.3,7737.1,55.8,43165.1,3128.9,62.8,19646.6,2872.9,53.0,15232.1,1735.3,47.8,8286.4,1152.7,45.5,5246.5,120.3,1269.3,569.0,10909.9,2016
Ðồng bằng sông Hồng,1184.3,6977.9,330.4,1094.4,59.8,6545.0,546.1,65.6,3583.2,,,,548.3,54.0,2961.8,89.8,48.1,432.2,18.7,176.7,,,2016
Hà Nội,217.0,1206.6,165.0,197.1,56.3,1109.6,99.4,60.9,605.7,,,,97.7,51.6,503.9,19.9,48.8,97.1,3.5,34.7,1.6,31.8,2016
Vĩnh Phúc,74.4,361.1,338.7,58.4,50.4,294.5,31.2,58.6,182.7,,,,27.2,41.1,111.8,16.0,41.6,66.6,2.2,21.2,,,2016
Bắc Ninh,73.8,454.7,385.8,70.8,62.0,439.1,35.6,65.0,231.3,,,,35.2,59.0,207.8,3.1,50.0,15.5,0.3,3.4,,,2016
Quảng Ninh,48.1,235.4,191.9,42.3,50.1,211.8,17.0,54.4,92.5,,,,25.3,47.2,119.3,5.8,40.5,23.5,3.8,22.5,,,2016
Hải Dương,124.5,749.0,419.4,120.3,60.4,726.4,60.7,64.6,392.2,,,,59.6,56.1,334.2,4.2,54.0,22.7,0.7,7.5,,,2016
Hải Phòng,75.2,471.0,237.8,74.0,62.9,465.1,35.7,69.5,248.1,,,,38.3,56.7,217.0,1.2,49.2,5.9,0.8,8.3,,,2016
Hưng Yên,82.3,504.5,431.1,74.1,61.7,457.4,37.1,65.9,244.4,,,,37.0,57.6,213.0,8.1,58.1,47.1,0.5,7.5,,,2016
Thái Bình,172.3,1120.1,625.8,160.1,65.8,1053.6,79.7,71.5,570.0,,,,80.4,60.1,483.6,12.1,54.5,66.0,3.2,38.2,,,2016
Hà Nam,73.9,440.0,547.5,65.6,60.3,395.5,32.4,66.5,215.6,,,,33.2,54.2,179.9,8.4,52.9,44.4,0.6,6.5,,,2016
