 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
Bình Thuận,142.6,832.4,676.5,124.2,57.8,717.8,35.0,62.4,218.3,44.9,57.8,259.7,44.3,54.1,239.8,18.4,62.3,114.6,0.5,3.1,28.2,477.9,2017
Tây Nguyên,460.4,2539.3,439.2,243.4,54.1,1315.6,86.5,61.3,529.9,6.1,52.8,32.2,150.8,50.0,753.5,216.4,56.5,1221.9,17.8,213.2,,,2017
Kon Tum,30.6,117.2,225.4,24.0,38.0,91.1,7.1,46.3,32.9,,,,16.9,34.4,58.2,6.2,40.2,24.9,0.2,1.3,38.6,576.5,2017
Gia Lai,122.0,566.4,394.0,74.6,47.6,354.9,25.0,56.4,140.9,,,,49.6,43.1,214.0,47.4,44.6,211.5,2.6,22.7,65.8,1249.9,2017
Ðắk Lắk,201.8,1238.5,653.0,101.5,63.4,643.5,39.6,69.7,275.9,,,,61.9,59.4,367.6,100.3,59.3,595.0,5.8,69.7,,,2017
Ðắk Nông,63.6,399.9,636.7,13.0,57.4,74.6,4.9,60.0,29.4,,,,8.1,55.8,45.2,50.5,64.4,325.0,7.0,87.1,,,2017
Lâm Ðồng,42.4,217.3,167.3,30.3,50.0,151.5,9.9,51.3,50.8,6.1,52.8,32.2,14.3,47.9,68.5,12.0,54.6,65.5,2.2,32.4,,..,2017
Ðông Nam Bộ,342.2,1839.7,109.9,271.9,51.4,1396.7,77.3,56.8,439.1,88.6,50.9,450.9,106.0,47.8,506.7,70.2,63.1,442.9,1.4,9.1,,,2017
Bình Phước,16.8,56.8,58.6,12.2,32.5,39.6,3.3,32.7,10.8,,,,8.9,32.4,28.8,4.5,38.0,17.1,0.7,3.2,15.9,378.7,2017
Tây Ninh,152.8,816.6,725.1,147.9,53.3,788.9,44.6,57.9,258.1,50.4,52.6,264.9,52.9,50.3,265.9,4.9,56.5,27.7,0.0,0.2,55.9,1819.8,2017
Bình Dương,7.6,31.4,15.2,7.2,42.5,30.6,2.3,48.7,11.2,1.5,40.0,6.0,3.4,39.4,13.4,0.4,20.0,0.8,0.2,1.4,4.7,87.1,2017
Ðồng Nai,106.9,660.8,218.3,60.7,54.2,329.1,15.0,61.5,92.2,22.0,51.5,113.3,23.7,52.2,123.6,46.2,71.8,331.7,0.3,3.3,,415.0,2017
Bà Rịa - Vũng Tàu,38.5,185.9,168.7,24.8,49.2,122.1,6.7,60.1,40.3,8.6,45.6,39.2,9.5,44.8,42.6,13.7,46.6,63.8,0.2,0.7,8.5,211.3,2017
TP.Hồ Chí Minh,19.6,88.2,10.4,19.1,45.2,86.4,5.4,49.1,26.5,6.1,45.1,27.5,7.6,42.6,32.4,0.5,36.0,1.8,0.0,0.3,,,2017
Ðồng bằng sông Cửu Long,4220.4,23809.3,1342.3,4185.3,56.4,23609.0,1579.1,62.6,9883.2,2421.9,53.8,13026.7,184.3,37.9,699.1,35.1,57.0,200.2,23.6,542.4,,,2017
Long An,528.1,2652.2,1771.9,526.7,50.2,2643.2,234.2,55.9,1310.0,290.3,45.7,1327.0,2.2,28.2,6.2,1.4,64.3,9.0,0.1,0.7,1.6,24.6,2017
Tiền Giang,215.3,1265.5,722.4,210.8,59.3,1249.3,71.6,65.7,470.5,139.2,55.9,778.8,..,..,..,4.5,35.8,16.1,0.4,6.6,,,2017
Bến Tre,55.5,229.3,181.0,54.9,41.4,227.2,15.7,44.2,69.4,30.8,41.6,128.0,8.4,35.5,29.8,0.6,35.0,2.1,0.1,0.5,,..,2017
Trà Vinh,224.4,1159.6,1109.1,220.2,51.7,1137.4,59.9,59.0,353.3,157.9,49.0,773.4,2.4,44.6,10.7,4.2,52.9,22.2,1.2,19.0,,,2017
Vĩnh Long,170.8,945.9,900.7,169.4,55.6,942.5,59.0,60.0,354.1,110.4,53.3,588.4,..,..,..,1.4,24.3,3.4,13.8,358.0,0.2,2.8,2017
Ðồng Tháp,543.5,3248.7,1921.9,538.3,59.6,3206.8,208.9,60.0,1254.4,329.4,59.3,1952.4,..,..,..,5.2,80.6,41.9,3.8,94.3,,,2017
An Giang,649.4,3942.7,1823.9,641.1,60.5,3879.6,236.2,70.3,1660.4,399.9,55.1,2202.0,5.0,34.4,17.2,8.3,76.0,63.1,0.3,4.8,1.4,28.5,2017
Kiên Giang,735.6,4060.5,2265.2,735.3,55.2,4058.8,298.8,60.2,1799.7,389.1,54.6,2122.7,47.4,28.8,136.4,0.3,56.7,1.7,1.5,32.1,0.7,18.8,2017
Cần Thơ,241.2,1392.8,1094.3,240.1,57.8,1387.2,85.4,65.2,556.7,154.7,53.7,830.5,..,..,..,1.1,50.9,5.6,0.0,0.1,,,2017
Hậu Giang,209.8,1276.1,1647.4,206.6,61.0,1261.0,77.9,68.2,531.5,128.7,56.7,729.5,..,..,..,3.2,47.2,15.1,0.1,2.4,,,2017
Sóc Trăng,352.4,2122.0,1614.6,348.2,60.5,2105.1,183.9,64.5,1186.0,151.8,56.3,855.1,12.5,51.2,64.0,4.2,40.2,16.9,1.6,20.0,,,2017
Bạc Liêu,180.8,1065.7,1191.7,180.6,59.0,1064.9,46.3,72.0,333.3,103.0,56.6,582.6,31.3,47.6,149.0,0.2,40.0,0.8,0.5,3.0,,,2017
Cà Mau,113.6,448.3,365.6,113.1,39.4,446.0,1.3,30.0,3.9,36.7,42.6,156.3,75.1,38.1,285.8,0.5,46.0,2.3,0.2,0.9,,,2017
