 ,Diện tích cây lương thực có hạt,Sản lượng cây lương thực có hạt,Sản lượng lương thực có hạt bình quân đầu người,Diện tích lúa,Năng suất lúa,Sản lượng lúa,Diện tích lúa đông xuân,Năng suất lúa đông xuân,Sản lượng lúa đông xuân,Diện tích lúa hè thu và thu đông,Năng suất lúa hè thu và thu đông,Sản lượng lúa hè thu và thu đông,Diện tích lúa mùa,Năng suất lúa mùa,Sản lượng lúa mùa,Diện tích ngô,Năng suất ngô,Sản lượng ngô,Diện tích khoai,Sản lượng khoai,Diện tích sắn,Sản lượng sắn,Năm
Tây Ninh,149.3,788.4,709.3,144.5,52.7,760.8,44.4,57.5,255.1,49.2,51.0,250.7,50.9,50.1,255.0,5.0,55.2,27.6,0.0,0.1,57.6,1868.3,2015
Bình Dương,8.0,32.1,16.6,7.6,41.3,31.4,2.4,47.9,11.5,1.7,37.6,6.4,3.5,38.6,13.5,0.4,17.5,0.7,0.2,1.6,4.8,87.0,2015
Ðồng Nai,115.9,707.0,244.0,63.6,53.0,337.2,14.5,60.8,88.1,23.7,50.5,119.7,25.4,50.9,129.4,52.2,70.9,369.9,0.3,2.8,,399.2,2015
Bà Rịa - Vũng Tàu,40.0,187.8,174.0,24.5,47.3,116.0,6.1,57.5,35.1,8.2,44.4,36.4,10.2,43.6,44.5,15.4,46.6,71.8,0.3,1.2,8.6,218.7,2015
TP.Hồ Chí Minh,21.3,91.6,11.3,20.3,43.5,88.3,4.9,48.2,23.6,7.2,43.8,31.5,8.2,40.5,33.2,0.9,35.6,3.2,0.1,0.3,,,2015
Ðồng bằng sông Cửu Long,4339.6,25803.3,1467.8,4301.5,59.5,25583.7,1617.5,71.3,11527.7,2444.1,53.5,13082.1,239.9,40.6,973.9,38.2,57.5,219.5,21.4,494.5,,,2015
Long An,527.0,2947.7,1986.4,522.9,55.8,2918.7,233.9,67.1,1569.7,283.9,46.9,1331.0,5.1,35.3,18.0,4.2,69.0,29.0,0.1,0.4,1.2,17.9,2015
Tiền Giang,229.1,1360.2,787.1,224.7,59.8,1344.4,75.1,72.0,541.0,149.6,53.7,803.4,..,..,..,4.4,35.9,15.8,0.4,5.4,,,2015
Bến Tre,63.7,281.4,222.7,63.0,44.3,278.8,17.2,50.9,87.6,17.9,40.1,71.8,27.9,42.8,119.4,0.7,37.1,2.6,0.1,0.7,,..,2015
Trà Vinh,241.4,1369.5,1337.6,235.8,56.8,1339.5,68.9,68.1,469.3,164.3,52.3,859.1,2.6,42.7,11.1,5.5,54.5,30.0,1.4,22.0,,,2015
Vĩnh Long,181.7,1097.6,1050.3,180.5,60.6,1094.7,61.0,71.6,437.0,119.5,55.0,657.7,..,..,..,1.2,24.2,2.9,11.3,310.4,0.2,3.0,2015
Ðồng Tháp,550.5,3419.8,2030.4,546.0,62.0,3384.5,204.9,70.4,1443.2,341.1,56.9,1941.3,..,..,..,4.6,76.7,35.3,3.6,87.6,,,2015
An Giang,652.8,4137.5,1917.0,644.2,63.2,4073.7,238.6,75.6,1804.4,400.3,56.2,2250.1,5.3,36.2,19.2,8.6,74.1,63.7,0.2,3.4,0.7,15.4,2015
Kiên Giang,769.7,4644.2,2637.2,769.5,60.3,4643.0,307.3,72.4,2224.5,399.2,53.5,2135.2,63.0,45.0,283.3,0.2,65.0,1.3,1.5,31.5,0.9,25.8,2015
Cần Thơ,239.0,1413.7,1132.7,237.9,59.2,1408.1,87.3,73.9,645.3,150.6,50.7,762.8,..,..,..,1.1,50.0,5.5,0.0,0.2,,,2015
Hậu Giang,210.0,1307.4,1697.0,207.1,62.4,1293.1,80.0,77.3,618.5,127.1,53.1,674.6,..,..,..,2.9,49.3,14.3,0.2,2.9,,,2015
Sóc Trăng,366.9,2291.9,1763.3,362.7,62.7,2275.5,196.7,68.5,1348.0,152.4,56.3,858.2,13.6,51.0,69.3,4.1,40.0,16.4,1.9,26.3,,,2015
Bạc Liêu,180.7,1065.3,1186.2,180.6,58.9,1064.5,46.6,72.8,339.2,101.8,57.4,584.8,32.2,43.6,140.5,0.2,40.0,0.8,0.5,2.8,,,2015
Cà Mau,127.1,467.1,383.2,126.6,36.7,465.2,..,..,..,36.4,41.8,152.1,90.2,34.7,313.1,0.5,38.0,1.9,0.2,0.9,,,2015
